caldt,t30ret
2012-01-31,-0.000002
2012-02-29,0.000031
2012-03-30,0.000046
2012-04-30,0.000029
2012-05-31,0.000065
2012-06-29,0.000022
2012-07-31,0.000032
2012-08-31,0.000050
2012-09-28,0.000067
2012-10-31,0.000037
2012-11-30,0.000085
2012-12-31,0.000103
2013-01-31,0.000022
2013-02-28,0.000054
2013-03-28,0.000041
2013-04-30,0.000037
2013-05-31,0.000012
2013-06-28,0.000013
2013-07-31,0.000009
2013-08-30,0.000009
2013-09-30,0.000008
2013-10-31,0.000017
2013-11-29,0.000032
2013-12-31,0.000023
2014-01-31,0.000012
2014-02-28,0.000045
2014-03-31,0.000028
2014-04-30,0.000015
2014-05-30,0.000008
2014-06-30,0.000020
2014-07-31,0.000013
2014-08-29,0.000003
2014-09-30,0.000004
2014-10-31,0.000012
2014-11-28,-0.000001
2014-12-31,0.000005
2015-01-30,0.000013
2015-02-27,-0.000021
2015-03-31,-0.000008
2015-04-30,0.000029
2015-05-29,-0.000005
2015-06-30,0.000004
2015-07-31,-0.000037
2015-08-31,0.000027
2015-09-30,-0.000006
2015-10-30,-0.000027
2015-11-30,0.000020
2015-12-31,0.000103
2016-01-29,0.000037
2016-02-29,0.000205
2016-03-31,0.000190
2016-04-29,0.000051
2016-05-31,0.000115
2016-06-30,0.000188
2016-07-29,0.000171
2016-08-31,0.000165
2016-09-30,0.000219
2016-10-31,0.000168
2016-11-30,0.000136
2016-12-30,0.000239
2017-01-31,0.000358
2017-02-28,0.000364
2017-03-31,0.000353
2017-04-28,0.000537
2017-05-31,0.000614
2017-06-30,0.000617
2017-07-31,0.000722
2017-08-31,0.000827
2017-09-29,0.000944
2017-10-31,0.000840
2017-11-30,0.000826
2017-12-29,0.000884
2018-01-31,0.001121
2018-02-28,0.001073
2018-03-29,0.000261
2018-04-30,0.001433
2018-05-31,0.001401
2018-06-29,0.001408
2018-07-31,0.001558
2018-08-31,0.001575
2018-09-28,0.001490
2018-10-31,0.001890
2018-11-30,0.001795
2018-12-31,0.001930
2019-01-31,0.001920
2019-02-28,0.001809
2019-03-29,0.001935
2019-04-30,0.002125
2019-05-31,0.001983
2019-06-28,0.001853
2019-07-31,0.001783
2019-08-30,0.001908
2019-09-30,0.001787
2019-10-31,0.001531
2019-11-29,0.001197
2019-12-31,0.001431
2020-01-31,0.001164
2020-02-28,0.001208
2020-03-31,0.001268
2020-04-30,0.000003
2020-05-29,0.000059
2020-06-30,0.000111
2020-07-31,0.000096
2020-08-31,0.000079
2020-09-30,0.000076
2020-10-30,0.000073
2020-11-30,0.000066
2020-12-31,0.000060
2021-01-29,0.000046
2021-02-26,0.000045
2021-03-31,0.000027
2021-04-30,0.000014
2021-05-28,0.000005
2021-06-30,0.000004
2021-07-30,0.000031
2021-08-31,0.000049
2021-09-30,0.000033
2021-10-29,0.000037
2021-11-30,0.000044
2021-12-31,0.000067
2022-01-31,0.000044
2022-02-28,0.000028
2022-03-31,0.000060
2022-04-29,0.000037
2022-05-31,0.000307
2022-06-30,0.000567
2022-07-29,0.000812
2022-08-31,0.001901
2022-09-30,0.001929
2022-10-31,0.002327
2022-11-30,0.002856
2022-12-30,0.003379
2023-01-31,0.003506
2023-02-28,0.003450
2023-03-31,0.003638
2023-04-28,0.003640
2023-05-31,0.003662
2023-06-30,0.004078
2023-07-31,0.004391
2023-08-31,0.004537
2023-09-29,0.004267
2023-10-31,0.004715
2023-11-30,0.004424
2023-12-29,0.004266
